"X","tweet_text","directed_at","tweet_sentiment"
1399,"Announced: as of today, @mention is no longer Wine Library TV. New app for iPhone is Daily Grape. #SXSW",NA,"neutral"
1402,"Game plan: Free food at Pepsi, Convention Center, Burner Party, Android party at Luster Pearl .. and all that happens between #sxsw",NA,"neutral"
1404,"#Startups: Free Premium Service on your 1st job post if you answer our 2 min survey {link} #sxsw #sxswi #startup #launch",NA,"neutral"
1405,"Confirmed: Google Circles to be launched later today #sxsw #sxswi",NA,"neutral"
1406,"Good news: I didn't break my iPhone, bad news: 1 screw just wouldn't budge, so I couldn't replace my battery. Hope it can stand up to #sxsw.",NA,"neutral"
1407,"Reason 19: Keep Parakeets employed! {link} Keep track of where the ladies are at #SXSW {link} @mention",NA,"neutral"
1408,"IMPORTANT: Make sure you are donating to the JAPANESE Red Cross for #japan: {link} #sxswcares #sxsw #quake (Please RT)",NA,"neutral"
1409,"SimpleGeo: Mobile phone ubiquity is creating a huge sensor network. iPhone has 6 diff sensors. #SXSW #bemyneighbor",NA,"neutral"
1410,"In Austin: not surprising, most popular accessory seems to be the ipad. closely followed up by BBQ pork waffle cone. #sxsw",NA,"neutral"
1412,"Challenge: Rethink Reading! #touchingstories #iPad and/or #tablet #SXSW",NA,"neutral"
1414,"toptweets: RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the... {link}",NA,"neutral"
1415,"SXSW 2011: The Google and Bing smackdown in all its bloody banality (Guardian) {link} #SXSW",NA,"neutral"
1416,"Dear SXSW: when you have Matt Cutts from Google you may want to provide a larger room that salon J at Hilton. Just sayin' #SXSW #SXSWi",NA,"neutral"
1417,"Anonymity: Zuckerberg &quot;wrong&quot; says 4chan's Moot #SXSW {link}",NA,"neutral"
1418,"Anonymity: Zuckerberg &quot;wrong&quot; says 4chan's Moot #SXSW {link} VIA @mention Google circles opportunity with profiles?",NA,"neutral"
1419,"@mention :New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link}",NA,"neutral"
1420,"Thank you! :) RT @mention Just picked up @mention book: Killer Photoes with your IPhone! #SXSW #sxswchi  {link} #SXSWi","iPhone","positive"
1421,"Good Work! “@mention @mention Check the latest stream at Apple's store at #SXSW {link} . ipad2 here I come. #PLAYSXSW”","iPad","positive"
1422,"Confirmed! Apple store 2 week popup in Austin for #SXSW Now with picture!  {link} ( via @mention who gave us no credit! )",NA,"neutral"
1423,"Good News! Austin Eats: BBQ for iPhone is now available - {link} #iTunes #Austin #BBQ #SXSW #SXSWi","iPad or iPhone App","positive"
1424,"Good News! Austin Eats: BBQ for iPhone is now available - {link} #iTunes #Austin #BBQ #SXSW #SXSWi /via @mention",NA,"neutral"
1425,"Hey #SXSW! Free copy of our Halftone app to the first person to redeem this code: P7E9EME7KYLJ {link}",NA,"neutral"
1426,"Get on it! Join actsofsharing.com starting tonight, the person with the most friends in their city by end of #SXSW wins an iPad 2! #local",NA,"neutral"
1427,"Beautiful! RT @mention knitted staircase in attendance at #sxsw party tomo 7pm hosted by @mention &amp; @mention {link}",NA,"neutral"
1428,"Bout time! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored (cont) {link}","iPad or iPhone App","positive"
1429,"Good info! RT @mention How to improve website rankings: Advice from Google &amp; Bing at #SXSW {link}","Google","positive"
1430,"I KNEW IT! RT @mention Apple set to open popup shop in core of SXSW action {link} via @mention #SXSW",NA,"neutral"
1431,"iron mike! RT @mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW",NA,"neutral"
1433,"Oh My God! RT @mention It's not a rumor: Apple opening up a temporary store in downtown Austin for #SXSW &amp;iPad 2 launch {link}","Apple","positive"
1434,"So true!!! RT @mention 'Google lost its way by caring too much for the business vs. the users' - @mention #psych #sxsw","Google","negative"
1435,"Thank you! RT @mention #sxsw #touchingstories great presentation on future of digital magazines {link} (@mention",NA,"neutral"
1436,"Very cool! RT @mention Download the free #SXSW: Featured Artists sampler today! {link}",NA,"neutral"
1437,"Very cool! RT @mention RT @mention Not a rumor: Apple to open temporary store in dt ATX for #SXSW &amp; iPad 2 launch {link}","Apple","positive"
1438,"free jams! why not? {link} #sxsw @mention @mention",NA,"neutral"
1439,"OH SNAP!!!!  At an 80s party hosted by Google! #sxsw",NA,"positive"
1440,"brilliant!! marketing!  &quot;Apple will be opening a temporary store in downtown Austin&quot; next to #sxsw

and the world buy it.","Apple","positive"
1441,"Brilliant!! RT @mention I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2. I love this place!","Apple","positive"
1442,"Congrats!!! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw","Android App","positive"
1444,"うー、わかりやすい！オースティンに行きたいと思わないけど。RT @mention Get a look at #SXSW's rumored #Apple &quot;pop-up&quot; store in Austin: {link}",NA,"neutral"
1445,"Got Green? Check out @mention LIVE in Austin during #SXSW ..check out his show schedule here -&gt; {link}",NA,"neutral"
1447,"At #sxsw ? Join us and @mention for a drink (or 2) at Fado on 4th at 7pm. {link}",NA,"neutral"
1448,"At #SXSW?? MindTouchers @mention @mention @mention are there giving iPad demos of MindTouch TCS! Tweet them to check it out!",NA,"neutral"
1449,"Apaan nih? RT @mention @mention RT New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW",NA,"neutral"
1450,"☺ ????????? ☼ {link} Ω #edchat #musedchat #sxsw #sxswi #classical #newTwitter",NA,"neutral"
1451,"☺ ????????? ☼ {link} Ω #edchat #musedchat #sxsw #sxswi #classical #newTwitter  RT @mention",NA,"neutral"
1452,"Confirmed.  Apple pop-up store on @mention 6th/Congress in Austin.  Line not too bad right now...#sxsw {link}",NA,"neutral"
1454,"SHITE APP. :( RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponso… (cont) {link}","iPad or iPhone App","negative"
1455,"Brilliant. #Apple is setting up a pop-up store in downtown Austin (to sell tons of iPad2s to #sxsw attendees, of course!) {link}","Apple","positive"
1458,"Hilarious. RT @mention Look for me at sxsw. I'm the bearded guy in plaid on an iPhone.  #sxsw",NA,"neutral"
1461,"Well done. See you tonight RT @mention w00t! @mention wrote about our #hollergram iPad app for #sxsw! {link}","iPad or iPhone App","positive"
1462,"Finally... Yeaayyy RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable","iPad or iPhone App","positive"
1463,"Akhirnya... “@mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by  {link}",NA,"neutral"
1464,"no no no... my bad its lady XD {link} #sxsw iPad Rebecca Black Jurassic Park",NA,"neutral"
1465,"Craziness... #iPad2 #SXSW @mention Apple Store, SXSW {link}",NA,"neutral"
1466,"It begins... on a story about a cool SXSW app and also Apple is launching the iPad 2 from a temp store. Stay tuned... I love you! #sxsw","iPad","positive"
1467,"Very wise... RT @mention Apple is opening up a temp store in Austin for #SXSW {link} via @mention #iPad2","Other Apple product or service","positive"
1469,"Brilliant...i hope they have plenty of iPads...RT @mention Apple to Open Pop-Up Shop at SXSW [REPORT] - {link} #sxsw","iPad","positive"
1470,"If I had .10 for each iPhone picture of the registration queue taken in the past 10 mins, I could hire someone to wait in my place. #sxsw",NA,"neutral"
1471,"((Ragtube.com)) My Way {link} #japan #sxsw #earthquake REDCROSS Chuck Greenberg Tokyo Hurricane Katrina Crescent City iPad",NA,"neutral"
1472,"*NEW* WWW.DIVASANDDORKS.COM: Apple iPad 2 Invades #SXSW {link}",NA,"neutral"
1474,"Hurrah!...the #sxswi festivities have begun. Met some Mozilla and Google folks tonight at @mention event. #sxsw",NA,"neutral"
1475,"@mention 'GoodGuide' iphone app scans barcode to rank environmental responsibility of the company-nice pressure!#smmnextgen #sxsw","iPad or iPhone App","positive"
1476,"i think i'm getting ready to order an iPad 2 with the $$ i would have had to spend to attend #SXSW","iPad","positive"
1477,"I think I'm going to get a second iPhone just to view Push Notifications. #sxsw",NA,"neutral"
1478,"In fact I'm going to assume a priori everyone sitting in this departure terminal playing with an Apple product is going to #SXSW",NA,"neutral"
1479,"reasons i'm sad i'm not at #sxsw 1. @mention in the form of {link}",NA,"neutral"
1480,"I think I'm the only one @mention #SxSW with an iPhone 3",NA,"neutral"
1481,"Dude, you're at an Outkast concert and you're tweeting from an iPad. RT @mention Old school players to new school fools. #SXSW",NA,"neutral"
1482,"Signs you're on a plane to #sxsw ? Two iPhone users have Arcade Fire rings. #letsdothis",NA,"neutral"
1483,"&quot;You're probably using your iPad on the go.&quot; #disagree #SXSW #uxdes",NA,"neutral"
1484,"Wow. They're really trying to tempt me to pick up an iPad 2 tomorrow. {link} #apple #sxsw #austintx","iPad","positive"
1485,"I know it's #SXSW because my iPhone has started lying to me about its signal strength.","iPhone","negative"
1486,"like that's bad RT @mention Sitting at a bar listening to music w 3 ppl who r all nose down on iPhone. Waitress looks confused. #sxsw",NA,"neutral"
1489,"The world's largest iPad. #sxsw {link}",NA,"positive"
1490,"Any iPAD2's left at the Apple store at #SXSW? Anyone know? :)",NA,"neutral"
1491,"Flipboard's next platform will be the iPhone, CEO @mention says #sxsw",NA,"neutral"
1492,"@mention 's nexus s on t-mobile is 10x more useful than my iphone4 on AT&amp;T at #sxsw. Is it because too many ppl have iPhone?","iPhone","negative"
1494,"omarg: It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch... {link}",NA,"neutral"
1495,"Google 80's party at Maggie Maes #Sxsw... Got some free glow in the dark shades",NA,"positive"
1497,"At Google's scale, tiny changes (even in colors of blue) can be meaningful. There's an optimum shade of blue for links. #sxsw @mention","Google","positive"
1498,"&quot;She's the iPad DJ working the Etsy party.&quot; #realtalk #sxsw",NA,"neutral"
1499,"Google 80's throw down. May be the last stop of the night #SXSW",NA,"neutral"
1500,"Hey, that's us!! &gt;&gt; The Go Game launches do-it-yourself iPhone scavenger hunts {link} (via @mention see you at #SXSW","iPhone","positive"
1501,"Hmm...can't get Twitter searches to update in Hootsuite or Tweetdeck on iPad. #SXSW","iPad or iPhone App","negative"
1503,"Filmaster’s iPhone app is Foursquare for cinemagoers {link} #API #GetGlue #iPhone #SXSW",NA,"neutral"
1504,"@mention “@mention Does the pop up Apple store in Austin still have iPad2 in stock? #lazyweb #SXSW”",NA,"neutral"
1505,"@mention “@mention Google is NOT launching any products at #SXSW {link}",NA,"neutral"
1506,"@mention “@mention Last day to get the #LP Austin iPhone app for free {link} #travel #sxsw&quot;","iPad or iPhone App","positive"
1507,"@mention “@mention not a rumor: Apple opening up temporary store in downtown Austin for #SXSW and the iPad 2 launch {link}",NA,"neutral"
1508,"@mention » RT UberSoc: New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link}",NA,"neutral"
1509,"@mention (CEO Gowalla) tells his journey of Blinksale to iconbuffet to Packrat. Then the #iPhone was born and the lightbulb turned on...#sxsw","iPhone","positive"
1510,"@mention (or anyone who knows @mention found your deaddd iPhone outside the Blogger Lounge...contact me so i can reunite you with it! :) #SXSW",NA,"neutral"
1511,"@mention (via @mention #sxsw ipad store sold out of everything except 64gig wifi only white","iPad","positive"
1512,"(CNNMoney) For #SXSW 2011, any computing device bigger than an iPad is passé. The mobile space has all the buzz {link} #wssxsw","iPad or iPhone App","positive"
1514,"Get (down)loaded Hoot! - RT #HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",NA,"positive"
1515,"I'm sure {link} is having a Double Rainbow kind of day right now. #google #sxsw",NA,"neutral"
1516,"@mention {link} you get the #sxsw app yet? Android version has the schedule.","Android App","positive"
1517,"@mention @mention  @mention #sxsw just tried out the new ipad app and it's BEAUTIFUL!!! Ps thanks for the TVontheradio TIX!!! Yall rock!!!","iPad or iPhone App","positive"
1518,"@mention @mention  Google Circles will be their new social media site? Wow. #SXSW",NA,"positive"
1519,"@mention @mention  In our studies players tell us, &quot;Petting my iPhone makes me happy.&quot; #tapworthy #sxsw","iPhone","positive"
1520,"@mention @mention “@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link}",NA,"neutral"
1521,"@mention @mention {link} #SXSW Thanks for signing my ipad!","iPad","neutral"
1522,"NICE! RT @mention {link} Killer shot I got last night of @mention at the #nokiaconnects concert for #SXSW",NA,"neutral"
1523,"@mention @mention @mention @mention Google to Launch Major New Social Network Called Circles, Possibly Today @ #sxsw {link}",NA,"neutral"
1524,"@mention @mention @mention @mention Paper phones?  Means an iPad will likely be useless at #sxsw as well. #fail","iPad","negative"
1525,"@mention @mention @mention &quot;@mention Google to Launch Major New Social Network: Circles, Possibly Today {link}  #sxsw&quot;","Other Google product or service","positive"
1526,"@mention @mention @mention Among Companies Trying to Make Impression at #SXSW Interactive {link} #sxswi",NA,"neutral"
1527,"@mention @mention @mention Can hear them workin hard in there #apple must be payin them plenty #sxsw {link}",NA,"neutral"
1528,"@mention @mention @mention Google Circles, indeed. But not going to be at #SXSW. They will likely release at Google I/O in May.",NA,"neutral"
1531,"@mention @mention @mention hope #Apple visits #Art from the iPad, 8th &amp; Congress since #SXSW Gets Own Apple Store {link}",NA,"neutral"
1532,"@mention @mention @mention RT @mention Google to Launch Major New Social NetworkCircles, posbly Today {link} #sxsw",NA,"neutral"
1534,"@mention @mention @mention There's talk that Apple's thinking of a downtown AUS location, and this temp #SXSW store might be a test.",NA,"neutral"
1535,"@mention @mention @mention This is the press release for the iPad apps I am helping launch at #SXSW {link} #sxswi",NA,"neutral"
1536,"@mention @mention @mention This is the press release of the iPad apps I am helping launch at #SXSWi {link} #sxsw",NA,"neutral"
1538,"google's @mention &quot;thinking by making&quot; key to agility. drawn out strategic planning can slow unnecessarily. #SXSW #agileagency",NA,"neutral"
1539,"All this @mention #sxsw buzz makes me wish I had an Android or I-Phone.  #beforetwitter I wouldn't have had such envy.","iPhone","positive"
1541,"@mention @mention according to @mention Google has confirmed it is not launching at #SXSW, if at all.",NA,"neutral"
1542,"@mention @mention Apple is opening temp. 3rd-store at  #SXSW selling new iPad-2 to handle xtra sales  {link}",NA,"neutral"
1543,"@mention @mention Apple set to open popup shop in core of #SXSW action {link} #ipad2",NA,"neutral"
1544,"@mention @mention Apple sets up temporary store at #SXSW; iPad anyone? {link} cc @mention","iPad","positive"
1545,"@mention @mention Apple to open temporary store Friday in the Scarbrough Building at 6th and Congress #SxSW {link}",NA,"neutral"
1546,"@mention @mention apple's gotta take advantage of all the hipsters that head out to #SXSW somehow.",NA,"neutral"
1547,"Cool! RT @mention Apple has opened a makeshift store for #sxsw, iPad2 will be available at 5pm today... #tempted",NA,"neutral"
1548,"Download @mention and let's do one in SF this is sweet! @mention @mention @mention {link}  love the vid! (via @LenaShaw) #SxSW",NA,"neutral"
1549,"just met @mention at Q&amp;A with bing and google panel...interesting to hear about what NASDAQ is doing in social media #sxsw",NA,"neutral"
1550,"Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;","Apple","positive"
1553,"Ran into @mention at the temporary Apple Store with @mention @mention and Amy #sxsw",NA,"neutral"
1555,"@mention @mention check this: {link} #SXSW #google",NA,"neutral"
1556,"Watching @mention covering the iPad 2 launch live at the Apple pop-up store in Austin at #SXSW {link}",NA,"neutral"
1557,"[LOL] RT @mention Don't worry you guys, found an iPhone charger. WHAT'S THE DEAL WITH HIPSTERS AND BEARDS, RIGHT?!?! #sxsw",NA,"neutral"
1558,"Haha the @mention drinking game --&gt; &quot;Drink every time Seth says Game Layer OR Google Ventures&quot; #sxsw cc @mention @mention",NA,"neutral"
1559,"Nice! RT @mention don't forget! come to our Q&amp;A With Google's @mention &amp; Bing's @mention On Ranking panel Mon 12:30pm #sxsw",NA,"neutral"
1560,"Yeah! RT @mention Details for the iPad 2 giveaway coming tonight, RT this! #SXSW #sxswi","iPad","positive"
1561,"Google's @mention envisions location-based future {link} #SXSW #location",NA,"neutral"
1563,"@mention @mention finishing up beta on Android &amp; iPhone Sunday; couple guys at #SXSW showing off; got about 20 beta moms ready 2 beta",NA,"neutral"
1564,"Remember @mention from our last campaign &amp; upcoming #SXSW event? {link} His new album dropped! {link}",NA,"neutral"
1566,"Yay! RT “@mention Flipboard's next platform will be the iPhone, CEO @mention says #sxsw”","iPhone","positive"
1568,"@mention @mention Great to meet you @mention meetup! This is the post about our new #sxsw medical apps {link} #sxswh #hcsm",NA,"neutral"
1569,"Nice! RT @mention Getting ready for my iPad 2 vs Android panel at #SXSW come check it out at 230!",NA,"neutral"
1571,"Whoa. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw","Other Google product or service","positive"
1572,"Cool! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2","Apple","positive"
1573,"Nice. RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}","Apple","positive"
1575,"@mention @mention is here at The Industry Party presented by  #GSDM &amp; #Google in Austin, TX for #SXSW.",NA,"neutral"
1577,"Just met @mention in line at the apple store at #SXSW !!",NA,"neutral"
1579,"True? RT @mention It's not a rumor: Apple opening temporary store in downtown Austin 4 #SXSW &amp; iPad 2 launch: {link}",NA,"neutral"
1580,"True. RT @mention I bet the longest iPad lines are gonna be in Austin. #sxsw",NA,"neutral"
1582,"#sxsw RT @mention Just crashed a segway into google #technology",NA,"neutral"
1583,"Austin. “@mention Just witnessed a homeless guy giving detailed ipad 2 inventory info to a passerby at the Austin popup store. #SXSW”",NA,"neutral"
1585,"Agree RT @mention Khoi Vinh says Conde Nast's rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw",NA,"neutral"
1586,"Nice! RT @mention knitted staircase in attendance at #sxsw party tomo 7pm hosted by @mention &amp; @mention {link}",NA,"neutral"
1587,"{link} ♻ @mention Longest line at #sxsw? The Apple Store, of course.  {link}",NA,"neutral"
1588,"@mention @mention lots of iPad 2's here in Austin! Bigger than I thought it would be. #SXSW","iPad","positive"
1590,"@mention @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW #Mashable {link}",NA,"neutral"
1592,"Download @mention new Austin iPhone app for free during SXSW {link} (thanks for the tip @mention #sxsw",NA,"neutral"
1593,"Hoot! RT @mention New Blog post: HootSuite Mobile for #SXSW ~ Updates for iPhone, B...",NA,"neutral"
1594,"Just got @mention new iPhone app, The Dialy Grape: {link} #sxsw #thankyou","iPad or iPhone App","neutral"
1598,"@mention @mention Really? What phone? Can't log in w/ #evo. #android #sxsw",NA,"neutral"
1599,"@mention @mention RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW {link}",NA,"neutral"
1600,"@mention @mention RT @mention Not a rumor: Apple to open temporary store in dt ATX for #SXSW &amp; iPad 2 launch {link}",NA,"neutral"
1601,"Shame on @mention RT @mention Confirmed! Apple store 2 week popup in Austin for #SXSW t.co/v7jWeKN /v @mention who gave us no credit!",NA,"neutral"
1602,"Want! RT @mention Radioshack giving away portable iPhone and laptop chargers on 1st floor of acc. #sxsw",NA,"neutral"
1604,"@mention @mention send over early app access for iOS or Android, be glad to be on the QA team to help out #sxsw",NA,"neutral"
1605,"@mention @mention Similarily, Tweetcaster for Android lets you zip tweets w annoying hash tags, like #sxsw","Android App","neutral"
1606,"I want a @mention SO bad for #sxsw, would make our live blogging from the iPad so much more efficient. Beautiful case!! Beats my leather 1","iPad","positive"
1607,"Watch as @mention scores the @mention search showdown at #SXSW: {link}",NA,"neutral"
1608,"Woohoo! “@mention Standing in line. For the 6th time. #ipad2 #apple #sxsw #popupstore”","iPad","positive"
1611,"@mention @mention Thank you all for retweeting @mention @mention &amp; me about the link re #sxsw &amp; the popup Apple Store.",NA,"neutral"
1612,"@mention @mention Thanks for the love! Show us your iPhone via twitpic and we'll share the love ;] #zazzlesxsw #sxsw","iPhone","positive"
1613,"@mention @mention They're growing by 130,000+ users a week. Let's hope they make an android app for @mention 's sake. #sxsw",NA,"neutral"
1614,"Google's @mention takes stage to talk on location, future, maps #sxsw",NA,"neutral"
1615,"@mention @mention well looks to be true, the #apple store has been revealed #sxsw {link}",NA,"neutral"
1616,"@mention @mention will be in the new update for android in a week or so..debuting at #sxsw..go @mention",NA,"neutral"
1619,"@mention @mention Wishing you a most excellent day at #sxsw today! I've got iPad envy!","iPad","positive"
1620,"#justmet @mention who worked for Apple for 25 years! #SXSW","Apple","positive"
1622,"Cool! RT @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circles",NA,"neutral"
1624,"@mention @mention you probably know this, but #Apple is opening a Pop-Up store in Austin For #SXSW. You can et the #iPad2  there!","Apple","positive"
1625,"Funny RT @mention Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link}","Apple","positive"
1626,"Nice! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw","Android App","positive"
1627,"Now *that* is customer service — &quot;Apple opens temporary store near #SXSW&quot; {link}","Apple","positive"
1629,"Dealing w/ @mention white freeze screen far too much, while at #SXSW everyone has an iPhone...making conversion a possibility #Efficient","iPhone","positive"
1630,"Uh oh. :-\ RT @mention I left my WHITE iPhone 4 in a cab in Austin at #SXSW  Internet, please help.",NA,"neutral"
1632,"@mention &amp; @mention are becoming competitors for @mention now that they're starting to realize #checkins are cool. #sxsw",NA,"neutral"
1634,"@mention &amp; @mention were quick to encourage SEO practitioners to avoid dwelling on page rank (focus on content) #sxsw",NA,"neutral"
1635,"@mention &amp; @mention Who needs to go to #SXSW when you can download a SXSW sampler for free? #BallinOnABudget {link}",NA,"neutral"
1638,"80s hair &amp; Makeup station at @mention @mention #sxsw #partylikeits1986 {link}",NA,"neutral"
1640,"Wanna 5'6&quot; chinese dude as your bff? Bring me an effen iPhone charger #sxsw",NA,"neutral"
1641,"Estoy en &quot;Designing iPad Interfaces - New Navigation Schemas at SXSW.&quot;
{link} #SXSW #UXDes",NA,"neutral"
1643,"@mention &quot;I've only seen one iPad 2 at #SXSW so far.&quot; Then 30+ audience members raise their iPad 2's.",NA,"neutral"
1644,"@mention &quot;I've worked at Google for over 11 years, so I've seen a lot of evil.&quot; #qagb #sxsw","Google","negative"
1645,"@mention &quot;OMG I'm gonna miss 2 panels at #sxsw standing in line for and 1 panel playing with my new iPad, but it'll be worth it. #ponies&quot;","iPad","positive"
1647,"Re: iPad &quot;The arm is a giant meat-pointer&quot; hilarious. @mention #sxsw","iPad","positive"
1649,"@mention #@mention android dev meetup you say?? #SXSW #SXSW",NA,"neutral"
1650,"&quot;Oh #@mention There goes search!.&quot; Watch out Google, @mention seems to be coming after you
#launch #sxsw",NA,"neutral"
1651,"#SXSW Tip#2 Use your smartphone's Google Maps App when you land in Austin to find the next $1 bus downtown. :) {link}","Other Google product or service","positive"
1652,"The only #airline to be mentioned by Guy Kawasaki as delightful like Apple (drumroll)... @mention (!!) Congrats! #sxsw","Apple","positive"
1653,"Must see #android app at #sxsw &quot;Bizzy&quot; {link}","Android App","positive"
1654,"@mention #Apple is setting up a special temp store just for us at #sxsw in Downtown #Austin ;) #ipad2 {link}",NA,"neutral"
1655,"hoping a #blackberry or #sprint popup store opens up so i can get an xtra battery.  Yes, I still have sprint and a blackberry #sxsw #apple",NA,"neutral"
1656,"@mention #BT #SXSW &quot;Having a really GREAT social search is probably a very good idea for #google&quot; @mention","Google","positive"
1658,"Google's #geosocial Offers platform goes live at #SXSW {link}",NA,"neutral"
1661,"#Monster #ipad #jobsearch app video for #SXSW video wall {link}",NA,"neutral"
1662,"@mention #iPad Lounge at @mention - Free daily for #sxsw - free coffee, #iPad #Art. Recharge. Austin Details {link}",NA,"neutral"
1663,"@mention #iPad Lounge: Recharge while you see #Art From the #iPad show, daily for #SXSW « Austin Details {link}",NA,"neutral"
1664,"Why not? #iPad2 #SXSW #popup @mention Apple Store, SXSW {link}",NA,"neutral"
1665,"#android #iphone: Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues: 
@mention {link} #androidcrunch",NA,"neutral"
1666,"#pubcamp #kirkus #sxsw   download Qrank on your ipad/iphone before you come to pubcamp sxsw 2011 - prizes!","iPad or iPhone App","positive"
1668,"Scored a #mophie juice pack at the #tradeshow #sxsw. Double your iPhone battery!",NA,"neutral"
1670,"@mention #qagb with @mention Listening to @mention and @mention talk about website ranking with Google and Bing #sxswi #sxsw #google #bing",NA,"neutral"
1671,"Oh yeah! #saysshewithoutanipad RT @mention Flipboard's next platform will be the iPhone, CEO @mention says #sxsw (via @mention","iPhone","positive"
1672,"#sxsw At #smileyparty and really want to win sn iPad!!!!!","iPad","positive"
1673,"@mention #sxsw - free tunage on iTunes {link}","Other Apple product or service","positive"
1674,"#killing #sxsw &quot;you can google a canadian tuxedo and lose yourself for hours&quot;",NA,"neutral"
1676,"@mention #SXSW #Apple #iPad2 {link}",NA,"neutral"
1677,"#sxswnui #sxsw #apple defining language of touch with different dialects becoming smaller",NA,"neutral"
1678,"#checkin #sxsw #crowley - Who are Foursquare's competitors? Google. Facebook.",NA,"neutral"
1680,"@mention #sxsw #google tv - thanks to Google TV, I can watch Guy live in my own living… {link}","Other Google product or service","positive"
1681,"@mention #sxsw #ipad fans get really excited for the unique design of  the klick #sleeves. Do you have any models with straps?","iPad","positive"
1682,"#sxswnui #sxsw #xwave control #iPhone with your brain",NA,"neutral"
1683,"Day 5 of #sxsw already! What are you doing? Share photos, video with iReport: {link} or through CNN iPhone app!",NA,"neutral"
1684,"Official #SXSW App ‘SXSW GO’ {link} #android #iphone #ipad",NA,"neutral"
1685,"With the #sxsw app and Google Maps, I'm pretty sure that the schwag bag is just a waste of paper.","Other Google product or service","positive"
1686,"@mention #sxsw blogger is orange, wodpress is blue, Google owns the market, so what do you do #winning","Google","positive"
1687,"My first #SXSW blog post for the @mention Grand opening of the Apple popup store {link}","Apple","positive"
1688,"Those at #SXSW check out the Holler Gram ipad app from @mention  {link} &lt; tis covered in awesome sauce!","iPad or iPhone App","positive"
1689,"@mention #SXSW don't forget @mention to plan your schedule. Plus our free iphone app {link}","iPad or iPhone App","positive"
1691,"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!","iPad","positive"
1692,"Now that #SXSW Interactive is over, can #Apple redirect those daily #iPad2 shipments from their Austin pop-up store to the SF Bay Area?!",NA,"neutral"
1693,"@mention #SXSW iPad rocks","iPad","positive"
1695,"@mention #sxsw is going to be alot better when u have iPad 5 to carry around ;)","iPad","positive"
1696,"#sxswnui #sxsw laptop denotes work, #iPad denotes fun","iPad","positive"
1697,"In Apple #SXSW line for iPad 2. Staff just cleared us as good to go for 32g. Only 16gb white and 64g At&amp;t black out of stock.",NA,"neutral"
1698,"Google's #SxSW party theme is &quot;Party like it's 1986&quot; :) (@mention Maggie Mae's) [pic]: {link}","Google","positive"
1700,"Enjoying #SXSW Radio Station {link} If you have an iphone use link {link} &amp; plug it into your sound system.","iPhone","positive"
1703,"@mention #SXSW so far: partied w/ google, twilio, Lego, milyoni (sick taco party), now big boi concert by 4sq and instagram.",NA,"neutral"
1704,"My first #SXSW survival kit. iPhone not in the shot because I'm using it to take the picture.  {link} I might be ready.","iPhone","positive"
1705,"Rumor at #SXSW that Google will launch a new social network called &quot;Circles&quot;. {link} @mention",NA,"neutral"
1706,"Who's at #sxsw that can a 64gb iPad 2 with 3G? I'll Paypal right now! ;)","iPad","positive"
1707,"I am not #SXSW worthy since I don't know what UX is. RT @mention 
So, @mention product on the iPhone. Period. The UX is...",NA,"neutral"
1708,"Fear not #SXSW-ers! RT @mention Confirmed! Apple store 2 week popup in Austin for #SXSW {link}","Apple","positive"
1709,"#tech At #SXSW, #Apple schools the marketing experts {link} #technology",NA,"neutral"
